added,product,batch,purity_pct,mass,result_date,report_url
2026-09-04,Aromasin 12.5mg,EXE01,,13.35 mg,2026-08-06,https://verify.janoshik.com/tests/216020-Aromasin_WJMM67885R66
2026-09-04,5-Amino-1MQ 50mg,5AM03,,49.88 mg,2026-09-02,https://verify.janoshik.com/tests/229119-5Amino1MQ_WVZH2UG6Q3RM
2026-09-02,Tesamorelin 20mg,TES08,97.74,22.47 mg,2026-09-01,https://verify.janoshik.com/tests/229125-Tesamorelin_FZ1S7HFE5F3P
2026-09-01,KLOW Blend,KLO06,,97.47 mg,2026-07-07,https://verify.janoshik.com/tests/203784-KLOW_Blend_3DVFZHXUVVKQ
2026-08-31,NAD+ 600mg,NAD05,,602.01 mg,2026-08-31,https://verify.janoshik.com/tests/227441-NAD_5WCKK95LIVDS
2024-10-09,Retatrutide,RET01,96.27,10.94 mg,2024-09-30,https://janoshik.com/tests/49492-Retatrutide_F7V3B6EHEMK9
2026-08-31,Retatrutide 20mg,RET27,99.53,21.49 mg,2026-08-31,https://verify.janoshik.com/tests/227444-Retatrutide_SZRQKHISG84A
2026-08-28,Tadalafil 20mg,TAD04,,20.91 mg,2026-08-06,https://verify.janoshik.com/tests/216018-Tadalafil_TXCDTDVITABU
2026-08-21,MOTS-C 10mg,MOTS08,98.84,10.67 mg,2026-08-21,https://janoshik.com/tests/225267-MOTSC_IRF44CDCLXV8
2026-08-20,Human Growth Hormone,GGC41,97.68,11.36 ius,2026-08-20,https://verify.janoshik.com/tests/224531-Human_Growth_Hormone_T8RG65MSWEIP
2026-08-20,GHK-Cu 100mg,,99.51,95.57 mg,2026-08-05,https://verify.janoshik.com/tests/215381-Sample_100_GHKCu_JMHLART6NIKH
2026-08-15,"Human Chorionic Gonadotropin 18,000iu",HCG08,,18083 ius,2026-07-10,https://verify.janoshik.com/tests/203792-Human_Chorionic_Gonadtropin_hCG_EYEP6E5MID5C
2026-08-15,Human Chorionic Gonadotropin 8500iu,HCG07,,8619 ius,2026-07-10,https://verify.janoshik.com/tests/203789-Human_Chorionic_Gonadtropin_hCG_7DXIFVN9R585
2026-08-15,Eloralintide 10mg,ELO01,99.54,12.74 mg,2026-08-07,https://verify.janoshik.com/tests/216570-Eloralintide_8H57M96DX4XH
2026-08-15,Thymosin Alpha-1 12.5mg,TA03,99.74,11.47 mg,2026-08-07,https://verify.janoshik.com/tests/216567-Thymosin_Alpha1_SGD8S2GYEYNN
2026-08-15,PT-141 10mg,PT04,99.48,11.30 mg,2026-08-07,https://verify.janoshik.com/tests/216564-PT141_MHUV6L8TJXUU
2026-08-15,Kisspeptin 5mg,KIS02,99.76,5.11 mg,2026-07-28,https://verify.janoshik.com/tests/211386-Kisspeptin_DMVTAWS4LAGQ
2026-08-15,CJC-1295 with DAC 5mg,DAC02,98.99,6.01 mg,2026-07-30,https://verify.janoshik.com/tests/212511-Sample_97_CJC1295_with_DAC_24U6G1Y3KPYU
2026-08-15,Selank 10mg,SEL04,99.85,11.21 mg,2026-07-29,https://verify.janoshik.com/tests/212505-Sample_42_Selank_8USUYMVKBPWW
2026-08-15,Melanotan 1 (MT-1) 10mg,MT101,99.65,10.64 mg,2026-07-29,https://verify.janoshik.com/tests/212499-Sample_M1_Melanotan1_6EXSEGV1I8GT
2026-08-11,Ipamorelin,IPA04,99.88,11.06 mg,2026-08-07,https://verify.janoshik.com/tests/216558-Ipamorelin_CJCPSTJ4XI8H
2026-08-07,Brain Blend Semax/Selank 6mg/6mg,COG02,,12.18 mg,2026-08-07,https://verify.janoshik.com/tests/216561-Brain_Blend_E73H7LB978VX
2026-08-07,GHK-Cu 50mg,GHK10,99.66,48.81 mg,2026-08-05,https://verify.janoshik.com/tests/215378-Sample_50_GHKCu_75FV6BK9NT94
2026-08-05,BPC-157 10mg,BPC10,98.51,11.22 mg,2026-07-31,https://verify.janoshik.com/tests/212938-BPC157_YMH3UQVGGN1W
2026-08-01,Retatrutide 60mg,RET25,99.55,68.33 mg,2026-07-30,https://verify.janoshik.com/tests/212502-Sample_23_Retatrutide_8BYAWCM8X7MH
2026-07-30,Healing Blend 10mg/10mg,BPCTB10,,20.39 mg,2026-07-29,https://verify.janoshik.com/tests/211380-BPC157_TB500_Healing_Blend_X2D658D9FRGI
2026-07-30,Human Growth Hormone,GGC40,96.94,43.31 ius,2026-07-30,https://verify.janoshik.com/tests/212941-Human_Growth_Hormone_9I9N3V554DC3
2026-07-30,Human Growth Hormone,GGC39,96.57,42.62 ius,2026-07-30,https://verify.janoshik.com/tests/210348-Human_Growth_Hormone_KFDHWLCC3RFI
2026-07-28,Tirzepatide 10mg,TZ07,99.51,10.62 mg,2026-07-28,https://verify.janoshik.com/tests/211383-Tirzepatide_BABRVF2SLNFC
2026-07-27,Tadalafil 5mg,TAD03,,5.33 mg,2026-06-26,https://verify.janoshik.com/tests/196442-Tadalafil_221KFGLKUIZQ
2026-07-27,Enclomiphene 12.5mg Tablets,ENC03,,11.11 mg,2026-07-03,https://verify.janoshik.com/tests/196440-Enclomiphene_77QGMTICS9JR
2026-07-26,Human Growth Hormone,GGC38,93.844,28.15 ius,2026-07-24,https://verify.janoshik.com/tests/210296-Human_Growth_Hormone_6AQTRNJ4PFLG
2026-07-11,Human Growth Hormone,GGC37,96.79,44.83 ius,2026-07-10,https://verify.janoshik.com/tests/203798-Human_Growth_Hormone_TCB6DJ8NIJ3M
2026-07-11,FOXO4-DRI,FOX01,97.04,11.45 mg,2026-03-25,https://verify.janoshik.com/tests/124401-FOXO4DRI_7Y41MI94TBDY
2026-07-11,VIP 10mg,VIP01,99.8,11.02 mg,2026-03-25,https://verify.janoshik.com/tests/124399-VIP_JNIPC71YVSQK
2026-07-11,GHRP-2 5mg,RP201,99.85,6.11 mg,2026-02-25,https://verify.janoshik.com/tests/110134-GHRP2_RL53MNW883NA
2026-07-11,GHRP-6 5mg,GHR601,99.02,5.45 mg,2026-03-30,https://verify.janoshik.com/tests/125049-GHRP6_ZTHTR24GPYLM
2026-07-09,Retatrutide 20mg,RET24,99.69,21.56 mg,2026-07-09,https://verify.janoshik.com/tests/203795-Retatrutide_4Z2TDQEL25QL
2026-07-07,Melanotan-2 10mg,MT204,99.74,10.81 mg,2026-07-03,https://verify.janoshik.com/tests/203776-Melanotan2_6N866XJK1VL2
2026-07-07,GLOW Blend,GLO06,,87.43 mg,2026-07-07,https://verify.janoshik.com/tests/203778-GLOW_Blend_CF25HDCK27TM
2026-07-06,Semax 10mg,SEM04,99.317,12.11 mg,2026-07-03,https://verify.janoshik.com/tests/203781-Semax_U1DE8UHJPJ2D
2026-07-06,DSIP,DSIP02,99.51,12.12 mg,2026-06-19,https://verify.janoshik.com/tests/193866-DSIP_1I89IVHP44BI
2026-07-01,KLOW Blend,KLO05,,85.01 mg,2026-06-23,https://verify.janoshik.com/tests/193863-KLOW_Blend_ZZ2SQN16VYHX
2026-06-30,Retatrutide 10mg,RET23,99.69,10.99 mg,2026-06-29,https://verify.janoshik.com/tests/200510-Retatrutide_QF96WVK2V1NW
2026-06-12,Tesamorelin 10mg,TES07,99.86,11.83 mg,2026-04-14,https://verify.janoshik.com/tests/136047-Tesamorelin_B55JAG5A8B24
2026-06-10,Healing Blend 6mg/6mg,BPCTB09,,11.74 mg,2026-04-16,https://verify.janoshik.com/tests/137462-BPC157_TB500_Healing_Blend_FVT8M352ZYTR
2026-06-10,Selank 12.5mg,SEL03,99.57,13.78 mg,2026-02-13,https://verify.janoshik.com/tests/106895-Selank_XU9KS1PTHRA3
2026-05-05,AOD-9604 2.5mg,AOD01,99.48,2.59 mg,2026-03-25,https://verify.janoshik.com/tests/124400-AOD9604_CYICTTG3DF1W
2026-05-05,ARA-290 10mg,ARA01,99.87,11.92 mg,2026-03-30,https://verify.janoshik.com/tests/125048-ARA290_PZDK4HQYA3JE
2026-05-05,Pinnealon 10mg,PIN01,99.39,11.25 mg,2026-03-30,https://verify.janoshik.com/tests/125050-Pinnealon_7IKXPT68ZX8Q
2026-05-05,GHK-Cu 70mg,GHK09,99.005,71.91 mg,2026-04-28,https://verify.janoshik.com/tests/151000-GHKCu_PFU6AVVZC2L1
2026-05-04,NAD+ 350mg,NAD04,,345.80 mg,2026-04-17,https://verify.janoshik.com/tests/147605-NAD_R96A7ZN13A76
2026-04-26,SS-31 50mg,SS03,99.89,52.49 mg,2026-02-06,https://verify.janoshik.com/tests/105517-SS31_MMXWALAIGZWR
2026-04-23,Human Growth Hormone,GGC35,97.33,26.85 ius,2026-04-14,https://verify.janoshik.com/tests/136044-Human_Growth_Hormone_P5VMXMWAV8P2
2026-04-23,Human Growth Hormone,GGC36,97.85,42.72 ius,2026-04-16,https://verify.janoshik.com/tests/147606-Human_Growth_Hormone_Z4URN5QA5E42
2026-04-23,IGF-1 LR3 1mg,IGF04,98.38,1.02 mg,2026-02-05,https://verify.janoshik.com/tests/105133-IGF1_LR3_6GCXHSQRFZ9L
2026-04-23,Human Growth Hormone,GGC34,96.65,43.15 mg,2026-03-24,https://verify.janoshik.com/tests/124397-Human_Growth_Hormone_FJX6JEXCD6GQ
2026-04-21,L-Carnitine 750mg/mL 30mL,LCAR03,,743.92 mg,2026-01-19,https://verify.janoshik.com/tests/97624-LCarnitine_N9BKE6VSXY7G
2026-04-17,SS-31 50mg,SS04,99.746,48.32 mg,2026-08-08,https://verify.janoshik.com/tests/147604-SS31_8MJBZKCKY2WU
2026-04-14,TB-500 5mg,TB08,99.87,5.82 mg,2026-04-14,https://verify.janoshik.com/tests/136045-TB500_YFPQKI1PBFKD
2026-04-14,KPV 10mg,KPV03,99.35,11.64 mg,2026-04-14,https://verify.janoshik.com/tests/136043-KPV_816SCBET3URV
2026-04-14,Retatrutide 60mg,RET22,99.79,67.03 mg,2026-03-23,https://verify.janoshik.com/tests/123381-Retatrutide_PZ7HW9WZK642
2026-04-08,Tirzepatide 60mg,TZ06,99.88,68.85 mg,2026-01-07,https://verify.janoshik.com/tests/123410-Tirzepatide_UIHYFQU84X4X
